Borough	Park Name	Park Location	Total Acres
Queens	GROVER CLEVELAND PARK	FAIRVIEW AVE, STANHOPE ST, AND GRANDVIEW AVE	5.1
Queens	HIGHLAND PARK	HIGHLAND BLVD, JAMAICA AVE, JACKIE ROBINSON PKWY	141.28
Queens	BENNIGER PLAYGROUND	MADISON ST, BET FRESH POND RD & 60 PL	0.574
Queens	JUNIPER VALLEY PARK	DRY HARBOR RD, 80TH ST, JUNIPER BLVD N, JUNIPER BLVD S, LUTHERAN AVE	55.247
Queens	MAURICE PARK	MAURICE, BORDEN, 54 AVES, 63 ST	8.899
Queens	JHS 119	78 AVE, 74 TO 75 STS	1.38
Queens	GLENDALE PLAYGROUND	CENTRAL AVE, BETWEEN 70 AND 71 STS	1.15
Queens	STARR PLAYGROUND	ONDERDONK & WILLOUGHBY AVES, STARR ST	0.9
Queens	EVERGREEN PARK (PS 68)	FELIX & SENECA AVES	3.32
Queens	JOSEPH F MAFERA PARK	65 PL & CATALPA AVE & 68 AVE	5.4
Queens	FRONTERA PARK	58 AVE BET BROWN PL & 69 ST	1.47
Queens	ROSEMARY'S PLGD (JHS 93)	WOODWARD AVE, WOODBINE ST, FAIRVIEW AVE	1.967
Queens	REIFF PLGD	FRESH POND ROAD, 63 ST, 59 DRIVE	1.529
Queens	MACDONALD PARK (GREENSTREET)	QUEENS & YELLOWSTONE BLVDS, 70 RD	1.415
Queens	EHRENREICH-AUSTIN ST PLGD	AUSTIN ST BET 76 AVE & 76 DR	1.161
Queens	MOUNT PLGD	ALDERTON ST FROM DIETERLE TO ELWELL CRESCENTS	1.932
Queens	ANNADALE PLGD	YELLOWSTONE BLVD BET 65 RD & 65 AVE	1.013
Queens	RUSSELL SAGE PLGD	68 AVE, BOOTH TO AUSTIN STS	1.469
Queens	GRAND CENTRAL PLGD	GRAND CENTRAL PKWY BET 71 & 72 AVES	1.277
Queens	REAL GOOD PARK	HORACE HARDING EXWY, 99 ST AND 62 AVE, 102 ST	1.598
Queens	BARRIER PLAYGROUND	102 ST, 62 AVE & YELLOWSTONE BLVD	0.867
Queens	PLGD 62 (PS 220)	YELLOWSTONE BLVD BET 62 AVE & 62 RD	1.4
Queens	LOST BATTALION HALL	QUEENS BLVD BET 62 AVE & 62 RD	1.965
Queens	YELLOWSTONE MUNICIPAL PARK	YELLOWSTONE BLVD BET 68 AVE & 68 RD	1.645
Queens	HORACE HARDING PLGD (PS 20)	62 DR BET 97 PL & 98 ST	1.374
Queens	BOWNE PARK	159 ST, 29 AVE, 155 ST, 32 AVE	11.788
Queens	HERMAN A MACNEIL PARK	POPPENHUSEN AVE, COLLEGE PL, 115 ST, EAST RIVER	28.87
Queens	CLEARVIEW PARK & GOLF COURSE	22 AVE & LITTLE BAY, WILLETS POINT BLVD	103.877
Queens	POPPENHUSEN PLGD	21 AVE, 124 ST, 20 AVE, 123 ST	1.14
Queens	MARTINS FIELD PLGD	46 AVE, 165 ST, 164 ST	3.474
Queens	WEEPING BEECH / CARMAN GREEN	37 AVE, PARSONS BLVD	2.074
Queens	KISSENA PARK	OAK AVE, TO HEMPSTEAD TPKE	234.762
Queens	MEMORIAL FIELD OF FLUSHING	BAYSIDE AVE, 25 AVE, 149 TO 150 STS	10.219
Queens	HARVEY PARK	15 TO 20 AVES, E OF WHITESTONE EXWY	9.476
Queens	DANIEL CARTER BEARD SQ	NORTHERN BLVD BET MAIN ST & LINDEN PL	0.658
Queens	FRANCIS LEWIS PARK	3 AVE, 147 ST, EAST RIVER, PARSONS BLVD	16.831
Queens	MAPLE PLGD	KISSENA BLVD & MAPLE AVE	0.978
Queens	KISSENA CORRIDOR PARK	LAWRENCE ST,N HEMPSTEAD TPK,ELDER AVE,KISSENA BLVD	100.873
Queens	BOWNE PLAYGROUND	SANFORD AVE FROM UNION TO BOWNE STS	1.824
Queens	BLAND PLGD	40 RD, PRINCE & MAIN STS	0.551
Queens	PLAYGROUND TWENTY-ONE	163 TO 166 STS, 21 AVE TO 21 RD	1.43
Queens	WHITESTONE PLGD (PS 193)	152 ST BET 11 & 12 AVES	1.782
Queens	COLDEN PLGD (PS 214)	UNION ST & 31 RD	1.48
Queens	WILLETS POINT PLGD (PS 209)	166 ST BET 16 AVE & 16 RD	1.145
Queens	CLEARVIEW EXPWY	W/S CLEARVIEW EXWY, 207 ST & 26 AVE	6.05
Queens	CLINTONVILLE PLGD (JHS 194)	CLINTONVILLE ST BET 17 AVE & 17 RD	1.553
Queens	AUBONDALE PLGD	35 AVE BET 171 & 172 STS	1.315
Queens	BAY TERRACE PLGD (PS 169)	NE CORNER 212 ST & 23 AVE	0.91
Queens	HART PLAYGROUND	147 ST BET 26 & 27 AVES	1
Queens	MURRAY HILL PLGD 	MURRAY ST, BARCLAY AVE, 156 ST, SANFORD AVE	0.75
Queens	FRANK GOLDEN MEMORIAL PARK	132 TO 138 STS, 14 RD	11.124
Queens	COLLEGE POINT PARK	COLLEGE POINT BLVD & 14 AVE	0.659
Queens	POWELL'S COVE PARK	130 ST, 138 PL, 9-11 AVES	7.094
Queens	COLLEGE POINT PARK	130TH ST & 23RD AVE	27
Queens	CUNNINGHAM PARK	HORACE HARDING EXPWY, GRAND CENTRAL PKWY	358
Queens	MCLAUGHLIN PLGD	MCLAUGHLIN AVE W/O F LEWIS BLVD, GRAND CENTRAL PKWY	1
Queens	MIDLAND MALL 	HILLSIDE AVE,TO SURREY PL	1.77
Queens	CAPT TILLY MEMORIAL PARK	HIGHLAND AVE, UPLAND PKWY, GOTHIC PKWY, 85 AVE	9.16
Queens	QUEENS VALLEY PLGD (PS 164)	137 ST & 77 AVE	0.876
Queens	MANTON PLAYGROUND	VAN  WYCK  EXWY, 84  ROAD, MANTON ST, 83 AVE	5.2
Queens	FARM PLGD	73 AVE, 195 ST & 196 PL	3.757
Queens	FRESH MEADOWS PARK	HORACE HARDING BLVD BET 188 &190 STS	1.23
Queens	UTOPIA PLGD	73 AVE, JEWEL AVE, UTOPIA PKWY	2.98
Queens	KISSENA CORRIDOR PARK	PECK & UNDERHILL AVES, UTOPIA PKWY, HORACE HARDING	45.937
Queens	HOLY COW PLGD (PS 179)	HORACE HARDING BLVD, BISHOP REILLY HS, PECK AVE	2.7
Queens	FRESH MEADOWS PLGD (PS 173)	67 AVE & 173 ST	1.35
Queens	VLEIGH PLGD	70 RD TO 71 AVE, 150 ST TO KISSENA BLVD	2.066
Queens	POMONOK PLGD (PS 201)	KISSENA BLVD, 65 AVE	3.505
Queens	VLEIGH PLACE	VLEIGH PL, 141 ST & UNION TPKE	3.25
Queens	ELECTRIC  PLGD	W/S 164 ST, S/O 65 AVE	1.749
Queens	EMERALD PLGD (PS 200)	164 ST BET JEWEL & 71 AVES	2.831
Queens	PLAYGROUND SEVENTY-FIVE	75 AVE, 160 TO 162 STS	0.91
Queens	CEDAR GROVE PLGD	MAIN ST & GRAVETT RD	1.25
Queens	BRIARWOOD PLAYGROUND (JHS 217)	148 ST & 85 AVE	1.558
Queens	JOSEPH AUSTIN PLGD	S/S GRAND CENTRAL PKWY BET 164 PL & 168 ST	4.04
Queens	EQUITY PARK	88 TO 89 AVES, 90 ST, WOODHAVEN BLVD	1.657
Queens	LONDON PLANETREE PLGD	88 TO 89 STS, ATLANTIC TO 95 AVES	1.837
Queens	SMOKEY OVAL	95 AVE, 127 ST, ATLANTIC AVE, 125 ST	4.353
Queens	SITTING AREA (HOOVER)	QUEENS BLVD, VAN WYCK EXWY, HOOVER AVE	1.5
Queens	MAURICE A FITZGERALD PLGD	ATLANTIC AVE BET 104 & 106 STS	1.201
Queens	AMPERE PLAYGROUND	101 AVE BET 82 & 83 STS	1.504
Queens	POL. OFFICER EDWARD BYRNE PARK	N CONDUIT AVE, 134 ST, 135 AVE, 130 PL	4.966
Queens	JOSEPH P ADDABBO MEMORIAL PK	N CONDUIT AVE, B/W 80 AND 88 STS, 133 AVE	24.216
Queens	LORING PARK	N CONDUIT & 149 AVE	2.846
Queens	SOUTHERN PARKWAY	CROSS BAY BLVD TO BROOKVILLE BLVD	202.647
Queens	SOUTHERN PARKWAY BALLFIELDS	SOUTHERN PKWY, 114 TO 121 STS	10.866
Queens	LEFFERTS PLGD	N CONDUIT AVE, 120 TO 122 STS	1.086
Queens	P.O. NICHOLAS DEMUTIS PLGD	LIBERTY AVE, 101 TO 102 STS	1.151
Queens	FREDERICK B JUDGE MEMORIAL PLGD	111 AVE, 134 & 135 STS, LINCOLN ST	2.217
Queens	SPRING CREEK PARK ADDITION	157TH DR., 158TH AVE., SHERIDAN STREET	37.246
Queens	SHORE PARKWAY	KINGS CO LINE TO SOUTHERN PKWY	50.9
Queens	CENTREVILLE PLGD	96 ST, CENTERVILLE ST & ALBERT RD	2.086
Queens	HAROLD SCHNEIDERMAN PLAYGROUND (PS 232)	155 AVE BET 84 & 85 STS	1.13
Queens	JHS 202 / GODDARD	N CONDUIT AVE, ARION RD, 149 AVE	1.327
Queens	WALTER WARD PLGD (PS 207)	88 & 89 STS & 160 AVE	0.935
Queens	ALLEY POND PARK	LITTLE NECK BAY TO SPRINGFIELD BLVD, UNION TPKE	655.294
Queens	CLEARVIEW BEACH	LITTLE BAY, CROSS ISLAND PKWY, UTOPIA PKWY	50
Queens	CROCHERON PARK	33 TO 35 AVES, LITTLE NECK BAY	45.79
Queens	JOHN GOLDEN PARK	215 PL, S/O 32 AVE	17
Queens	SEVEN GABLES PLAYGROUND (IS 74)	S/O L I EXWY, 210 & OCEANIA STS	1.297
Queens	KENNEDY PLAYGROUND	33 AVE, 210 ST, 32 AVE, CPL KENNEDY ST	5.4
Queens	MOTOR PARKWAY	CLOVERDALE-HOLLIS CT BLVDS,KINGSBURY-RICHLAND AVES	14.049
Queens	MALL FORTY-TWO	42 AVE, BELL BLVD TO FRANCIS LEWIS BLVD	1.3
Queens	ALAMEDA MALLS	ALAMEDA AVE FROM NORTHERN BLVD TO 247 ST	0.553
Queens	BELL MALL	BELL BLVD, 48 AVE TO HORACE HARDING BLVD	1.47
Queens	SAUL WEPRIN PLGD	201 TO 202 STS BET 53 & 56 AVES	1.964
Queens	TALL OAK PLGD (PS 46)	64 AVE, 218 & 219 STS	1.408
Queens	SY SEPLOWE PLGD (PS 94)	LITTLE NECK PKWY, 42 TO 43 AVES	0.759
Queens	CHALLENGE PLGD (PS 187) 251 ST PLGD	W/S 251 ST BET 61 & 63 AVES	2.062
Queens	TELEPHONE PLAYGROUND (PS 205)	BELL BLVD, 75 AVE & 217 ST	1.056
Queens	ALLEY PARK (PS 213)	67 AVE & 230 ST	3.642
Queens	NASSAU MALL	NASSAU BLVD & LITTLE NECK PKWY	0.852
Queens	NASSAU SITTING AREA	254 ST & 57 AVE	0.792
Queens	MARIE CURIE PARK (JHS 158)	46 AVE & 211 ST	2.415
Queens	LOUIS PASTEUR PARK	52 AVE BET 248 ST & MARATHON PKWY	3.673
Queens	FRANCIS LEWIS PLGD (PS 130)	42 AVE AT FRANCIS LEWIS BLVD	1.446
Queens	PARK (BAYSIDE HS ATHLETIC FLD)	204 ST & 29 AVE, CLEARVIEW EXWY	2.69
Queens	PARK (230 ST)	230 ST BET 57 AVE & 57 RD	2.066
Queens	OAKLAND GARDENS (PS 203)	E/S SPRINGFIELD BLVD & 54 AVE	1.166
Queens	DOUGLASTON PARK GOLF COURSE	244 ST, 242 ST, 61 AVE, COMMONWEALTH BLVD, 72 AVE	104.6
Queens	UDALLS COVE PARK	NORTHERN BLVD, 244-247 STS, DOUGLAS RD	29.839
Queens	FORT TOTTEN PARK	FORT TOTTEN, CROSS ISLAND PKWY, TOTTEN RD TO 15 RD	50
Queens	BAISLEY POND PARK	N CONDUIT AVE, BAISLEY BLVD S, LAKE VIEW BLVD E	109.609
Queens	KING PARK	JAMAICA AVE, 153 ST, 89 AVE, 150 ST	11.5
Queens	MAJOR MARK PARK	HILLSIDE AVE, 173 TO 175 STS	0.9
Queens	ST ALBANS MEMORIAL PARK	MERRICK BLVD, 173 PL, SAYERS AVE	10.79
Queens	HOWARD VON DOHLEN PLAYGROUND	ARCHER AVE, 138 PL, 91 AVE, 138 ST	1.381
Queens	DANIEL M OCONNELL PLAYGROUND	113 & MURDOCK AVES, 196 ST	2.043
Queens	HARVARD PLGD	179 PL, N/O JAMAICA AVE	0.581
Queens	LIBERTY PARK	106 AVE, 173 ST, LIBERTY AVE, 172 ST	8
Queens	MARCONI PARK	109 AVE, 157 ST, 108 AVE, 155 ST	4.635
Queens	NAUTILUS PLGD	MERRICK BLVD, 120 AVE, BAISLEY BLVD	3.52
Queens	NORELLI-HARGREAVES PLGD	VAN WYCK EXWY, 106 AVE, 142 ST, 104 AVE	1.427
Queens	DR CHARLES R DREW MEMORIAL PK	VAN WYCK EXWY, 116 AVE, 140 ST, 115 AVE	6.336
Queens	PLAYGROUND ONE FORTY	VAN WYCK EXWY, ROCKAWAY BLVD, 140 ST, 120 AVE	1.37
Queens	JAMAICA PLAYGROUND	109 AV & BRINKERHOFF AVE, 160 ST & UNION HALL STS	3.21
Queens	LOCUST MANOR PLGD (PS 15)	192 ST, S/S 121 AVE	2.633
Queens	PETER'S FIELD	LIBERTY AVE, 183 PL, 104 AVE	2.872
Queens	HAGGERTY PARK	S/S JAMAICA AVE BET 202 & 204 STS	4.334
Queens	MONTBELLIER PARK	SPRINGFIELD BLVD BET EASTGATE PLAZA & 139 AVE	4.427
Queens	LATIMER PLGD	167 ST & 109 AVE	1.076
Queens	HOLLIS PLGD (JHS 192)	204 ST, HOLLIS AVE, 205 ST, 111 AVE	0.98
Queens	RAILROAD PARK	LIRR, 129 AVE, 176 ST	16.439
Queens	ROCHDALE PARK   (JHS 72)	GUY BREWER BLVD, 134 AVE	8.363
Queens	NORTH ROCHDALE PLGD (PS 30)	BAISLEY BLVD & BEDELL ST	1.053
Queens	SOUTH ROCHDALE PLGD (PS 80)	173 ST & 137 AVE	0.942
Queens	HILTON HOLIDAY GARDENS	133 TO 135 AVES, 143-145 STS	1.2
Queens	ROY WILKINS-SOUTHERN QUEENS PK	BAISLEY & MERRICK BLVDS,115 AVE	53.306
Queens	ALLEY PARK (ATHLETIC)	GRAND CENTRAL PKWY, UNION TPKE, WINCHESTER BLVD	30.5
Queens	BROOKVILLE PARK	149 AVE, 235 ST, BROOKVILLE BLVD, S CONDUIT AVE	89.946
Queens	LAURELTON PARKWAY	SUNRISE HWY TO SOUTHERN STATE PKWY	59.56
Queens	WAYANDA PARK	HOLLIS AVE & ROBARD LANE	3.16
Queens	MENTONE PLGD	SOUTHERN PKWY, 231 TO 234 STS	1.102
Queens	SPRINGFIELD PARK	149 AVE, SPRINGFIELD BLVD, 145 RD, 148 ST	23.543
Queens	LAURELTON PLAYGROUND	BROOKVILLE BLVD, S/O 136 AVE	1.785
Queens	PAT WILLIAMS PLGD	224 ST & 101 AVE	7.064
Queens	BREININGER PARK	BRADDOCK AVE & 240 ST	3.4
Queens	CROSS ISLAND PKWY	CROSS ISLAND PKWY	326.115
Queens	DELPHIN H GREENE PLGD (PS 176)	121 AVE & 237 ST	3.323
Queens	TENNEY PARK	74 AVE & 260 ST	2.948
Queens	80 PLGD	80 AVE, 261 & 262 STS	1.35
Queens	BELLAIRE PLGD	89 AVE, 207 & 208 STS	1.148
Queens	CASTLEWOOD PLGD (PS 186)	LITTLE NECK PKWY & 72 AVE	2.024
Queens	BELLEROSE PLGD	85 AVE, 248 & 249 STS	1.263
Queens	CABBELL PARK/CAMBRIA PLGD	121 AVE & 220 ST	4.635
Queens	HILLSIDE PARK (JHS 172)	82 AVE, 256 TO 257 STS	1.16
Queens	GUNN PARK (PS 18)	S/S HILLSIDE AVE, E/O 235 CT	2.709
Queens	IDLEWILD PARK	ROCKAWAY BLVD, SPRINGFIELD BLVD, 149 AVE	158.672
Queens	PS 147 PLGD	115 RD BET 218 & 219 STS	1.561
Queens	JHS 231 PLGD	SPRINGFIELD BLVD, 145 RD, ARTHUR ST	1.045
Queens	SUNRISE PLGD (PS 195)	149 RD, WELLER LANE, 149 AVE, 253 ST	1.102
Queens	CREEDMOOR FARM PARK	LITTLE NECK PKWY, COMMONWEALTH BLVD, S/O G C PKWY	47.65
Queens	PUBLIC PLACE (100 ACRES)	HUXLEY ST, HOOK CREEK BASIN, & ROCKAWAY BLVD	100
Queens	HOOK CREEK WILDLIFE SANCTUARY	ROCKAWAY AND BROOKVILLE BLVDS, HOOK CREEK BASIN	11.486
Queens	MICHAELIS-BAYSWATER PARK	BEACH CHANNEL DR, B 32 ST, DWIGHT AVE, NORTON AVE	27
Queens	MARINE PARK	116 ST, BEACH CHANNEL DR, 124 ST	12
Queens	NEPONSIT MALL	ROCKAWAY BEACH BLVD, B 142 TO B 149 STS	0.76
Queens	ROCKAWAY BEACH & BOARDWALK	OCEAN PROMENADE, ATLANTIC OCEAN,B 110 TO B 126 STS	31.5
Queens	PARK	BERT RD S/O 2 RD	2.778
Queens	ROCKAWAY BEACH & BOARDWALK	B 3 TO B 73 STS	96.921
Queens	PARKING LOT	BOARDWALK & BEACH 69 ST	2.192
Queens	PARKING LOT	BOARDWALK & BEACH 67-68 STS	1.317
Queens	PARKING LOT	BOARDWALK & BEACH 64-65 STS	1.843
Queens	PARKING LOT	BOARDWALK & BEACH 63 ST	1.313
Queens	BEACH 59TH ST PLGD	BOARDWALK & BEACH 59-60 STS	0.671
Queens	PARKING LOT	BOARDWALK, OCEAN PROMENADE, BEACH 55-59 STS	6.749
Queens	PLAYGROUND	BOARDWALK BET BEACH 42-43 STS	0.625
Queens	PLAYGROUND	BOARDWALK BET BEACH 39-42 STS	2.32
Queens	PARKING LOT	BOARDWALK BET BEACH 38-39 STS	6.01
Queens	PLAYGROUND (UNDEVELOPED)	BOARDWALK BET BEACH 26-28 STS	1.14
Queens	MALL	BOARDWALK BET BEACH 20-24 STS	0.867
Queens	O'DONOHUE PARK	BOARDWALK BET BEACH 20-17 STS	2.479
Queens	BEACH 17TH ST PLGD	BEACH 17 ST & SEAGIRT BLVD	13.75
Queens	BEACH 9 ST PLGD	BEACH 9 ST & SEAGIRT BLVD	4.863
Queens	ROCKAWAY BEACH & BOARDWALK	B 73 TO B 109 STS	68.213
Queens	ROCKAWAY BEACH & BOARDWALK	B 126 ST, B 149 ST, ATLANTIC OCEAN	14
Queens	ROCKAWAY FREEWAY	B 108 ST TO MOTT AVE, 83 ST	8.577
Queens	VETERANS PARK	CROSS BAY BLVD BET 4 & 6 RDS	0.565
Queens	WESTBOURNE PLAYGROUND	MOTT & WESTBOURNE AVES, B 25 ST	1.13
Queens	JAMAICA BAY PARK	CITY LINE & MOTT BASIN	148.035
Queens	ARVERNE PLGD	ARVERNE BLVD & B 55 ST	0.993
Queens	REDFERN PLAYGROUND	B 12 ST & REDFERN AVE	2.093
Queens	GRASSMERE PLGD	GRASSMERE TERR, BROOKHAVEN AVE, BRIAR PL	1.275
Queens	HAMMEL PLAYGROUND	B 83 ST & ROCKAWAY BEACH BLVD	1.03
Queens	ROCKAWAY COMMUNITY PARK	CONCH, SOMMERVILLE & NORTON BASINS, ALMEDA AVE	253.719
Queens	JHS 198 PLGD	BEACH CHANNEL DR BET B 56 & B 57	2.096
Queens	BAYSIDE PLGD (JHS 180)	BEACH CHANNEL DR & SEASIDE AVE	1.14
Queens	CONCH PLGD (PS 105)	BEACH CHANNEL DR & B 49 ST	1.8
Queens	BEACH CHANNEL PLGD (PS 183)	B 80-B 79 STS, BEACH CHANNEL DR	0.89
Queens	OCEAN PLAYGROUND	B 8 ST, LANETT AVE, B 9 ST	0.974
Queens	BEACH CHANNEL WEST	B 128-B 130 STS, BEACH CHANNEL DR	0.761
Queens	SEASIDE PLGD (PS 225)	ROCKAWAY BEACH BLVD, B 109-B110 STS	1.144
Queens	ALMEDA PLGD (PS 42)	B 65 ST, BEACH CHANNEL DR	1.43
Queens	ROCKAWAY GARAGE (NEW)	AMSTEL BLVD, BEACH CHANNEL DR, 74-75 STS	1.285
Queens	DUBOS POINT WILDLIFE SANCTUARY	DECOSTA AVE, B 63 ST, BAYFIELD AVE, BARBADOES DR	44.823
Queens	BROAD CHANNEL PARK	CROSS BAY BLVD, E 16-E18 RDS, CHANNEL RD	1.52
Queens	BRANT POINT WILDLIFE SANCTUARY	BAYFIELD & DECOSTA AVENUES	24.19
Queens	BROAD CHANNEL PARK	CROSS BAY PKWY BET 20TH RD AND BROAD CHANNEL	17.429
Queens	SEAGIRT AVENUE WETLANDS	SEAGIRT BLVD. BET BEACH 3RD ST. AND BEACH 5TH ST.	0.67
Queens	VERNAM BARBADOES PENINSULA	JAMAICA BAY B/W BARBADOES BASIN & VERNAM BASIN	19.97
Queens	FLUSHING MEADOWS PARK	GRAND CENTRAL PKWY, VAN WYCK EXWY	1255.421
Queens	FOREST PARK	MYRTLE AVE, UNION TPKE, PARK LANE S	538
Queens	GRAND CENTRAL PARKWAY	INTERBORO PKWY TO NASSAU CO LINE	180
Queens	GRAND CENTRAL PARKWAY EXT	INTERBORO PKWY TO ASTORIA BLVD AT 29 ST	370
Staten Island	CLARENCE T BARRETT PARK ZOO	BROADWAY, GLENWOOD PL, CLOVE RD	8.114
Staten Island	CLOVE LAKES PARK	SLOSSON AVE, VICTORY BLVD, CLOVE RD	198.05
Staten Island	FABER PARK	RICHMOND TERR TO KILL VAN KULL, FABER ST	4.25
Staten Island	HERO PARK	VICTORY BLVD, LOUIS ST, HOWARD AVE	3.024
Staten Island	WHITE PLGD	HIGH ST, LYMAN AVE, BAY & SUMMER STS	0.981
Staten Island	WALKER PARK	DELAFIELD PL, BARD & DAVIS AVES	5.278
Staten Island	VETERANS PARK	HEBERTON TO PARK AVES, BENNETT TO VREELAND STS	1.28
Staten Island	SILVER LAKE PARK	VICTORY BLVD, CLOVE RD, FOREST AVE	209.353
Staten Island	MAHONEY PLGD	BEECHWOOD AVE, CRESCENT & CLEVELAND STS	2.21
Staten Island	TAPPEN PARK	CANAL ST, WRIGHT TO BAY STS	1.777
Staten Island	WESTERLEIGH PARK	WILLARD, SPRINGFIELD, MAINE, NEAL & DOW AVES	2.889
Staten Island	MAPLE WOODS	RICHMOND RD NEAR PIERCE AVE	0.742
Staten Island	MCDONALD PLGD	FOREST AVE, MYRTLE AVE BET BET BROADWAY & BURGHER	1.357
Staten Island	DEMATTI PLGD	TOMPKINS AVE, CHESTNUT AVE & SHAUGHNESSY LANE	2.343
Staten Island	KALTENMEIER PLGD	VIRGINIA AVE, ANDERSON ST	1.02
Staten Island	HARVARD YARD	ARNOLD ST, HARVARD AVE	0.665
Staten Island	ALLISON PARK	PROSPECT, N RANDALL & BRENTWOOD AVES	9.2
Staten Island	ARTHUR VON BRIESEN PARK	FOOT OF BAY ST AT FT WADSWORTH	13.27
Staten Island	STAPLETON PLGD	TOMPKINS AVE, BROAD & HILL STS	2.92
Staten Island	NORTH SHORE ESPLANADE	RICHMOND TERR, PETERS PL, NICHOLAS ST	1.521
Staten Island	GRANDVIEW PLGD	GRANDVIEW AVE, CONTINENTAL PL	2.98
Staten Island	TERRACE PLGD	HOWARD AVE & MARTHA ST	1.937
Staten Island	CLOVE'S TAIL	LITTLE CLOVE RD & VICTORY BLVD (SOUTH SIDE OF STREET)	2.056
Staten Island	INGRAM WOODS	SI EXWY, WARWICK, PURDY & INGRAM AVES	3.77
Staten Island	MARKHAM PLGD	WILLOWBROOK PKWY, FOREST AVE & HOUSTON ST	2.938
Staten Island	NORTHERLEIGH PARK	HARROWER ST, BURNSIDE AVE, SHAW PL, NORTHA VE	4.206
Staten Island	NORTH SHORE ESPLANADE	RICHMOND TERR, BANK ST & WESTERVELT AVE	0.731
Staten Island	DAVIS PLGD	CRESCENT AVE, BISMARK CT, BEECHWOOD	1.048
Staten Island	PRALL PLGD	ELIZABETH ST,FOREST AVE,BROADWAY,CLOVE LAKES PL	1.292
Staten Island	LAWRENCE C THOMPSON MEM PARK	BROADWAY, HENDERSON AVE	10.5
Staten Island	LT NICHOLAUS LIA PLGD	N/S WALL ST, ST MARKS PL & BELMONT PL	1.37
Staten Island	JENNIFER'S PLGD	JULES DR, ELSON CT, REGIS DR	1.6
Staten Island	SAILORS SNUG HARBOR	RICHMOND TERR,TYSEN ST, KISSEL AVE, SNUG HARBOR RD	83.3
Staten Island	ALICE AUSTEN HOUSE & PARK	EDGEWATER ST, HYLAN BLVD, MARYLAND AVE	14.796
Staten Island	SKYLINE PLGD	ARNOLD ST & PROSPECT AVE BET HARVARD AV & CLYDE PL	1.844
Staten Island	EIBS POND PARK	MOSEL AVE & PALMA DRIVE	17.084
Staten Island	LUIZ LOPEZ PLGD	TARGEE ST, PALMA DR  & ODER AVE	1.068
Staten Island	ANTHONY R. GAETA PARK	WYONA AVE, WILLOW RD EAST, VICTORY BLVD	1.43
Staten Island	MANNA PARK	FOREST AVE, GOETHALS ROAD NORTH	0.85
Staten Island	SHOOTERS ISLAND	KILL VAN KULL AND NEWARK BAY	44.8
Staten Island	RICHMOND TERRACE STOREHOUSE	ALASKA ST, TAYLOR ST	0.96
Staten Island	GRANITEVILLE SWAMP PARK	GOETHALS ROAD NORTH, MEEKER AVE, MORROW ST	8.076
Staten Island	MARINER'S MARSH PARK	HOLLAND AVE & RICHMOND TERRACE	107.2
Staten Island	SOBEL COURT PARK	BOWEN ST BETWEEN SOBEL CT AND ROFF ST	0.833
Staten Island	LA TOURETTE PARK & GOLF COURSE	FOREST HILL & LONDON RDS, ROCKLAND AVE	511.05
Staten Island	FRESH KILLS PARK	VICTORY BLVD,SIGNS RD,TRAVIS AVE,ARTHUR KILL RD	813.977
Staten Island	MOHLENHOFF NURSERY ADDITION	VICTORY BLVD, SIGNS ROAD TRAVIS AVE &ARTHUR KILL	11.356
Staten Island	WILLOWBROOK PARK	RICHMOND AVE TO VICTORY BLVD	164.13
Staten Island	MIDLAND PLGD	LINCOLN, MASON, MIDLAND AVES	5.797
