Borough	Park Name	Park Location	Total Acres
Staten Island	MIDLAND FIELD	MIDLAND, MASON, BEDFORD AVES	4.357
Staten Island	JHS PLAYGROUND	BOUNDARY AVE, MIDLAND AVE, LINCOLN AVE	2.685
Staten Island	SCHMUL PARK	WILD AVE, PEARSON ST	8.48
Staten Island	FDR BOARDWALK & BEACH	FT WADSWORTH TO MILLER FIELD	638.5
Staten Island	ARROCHAR PLGD	SAND LANE, MAJOR AVE, MCFARLAND AVE	1.54
Staten Island	OLD TOWN PLGD	PARKINSON AVE, KRAMER ST	2.501
Staten Island	TOAD HALL PLGD	SCHMIDTS LANE, MANOR RD & LAGUARDIA AVE	1.081
Staten Island	RICHMOND PARKWAY (9.3 MILES)	STATEN ISLAND EXWY TO PAGE AVE	984.45
Staten Island	MACARTHUR PARK	DONGAN HILLS AVE & SIRR	5.165
Staten Island	NAPLES PLGD	TARGEE ST, VENICE ST	2.904
Staten Island	FATHER MARCIS PARK	S/S OF SI EXWY, FAHY AVE, LAMBERTS LANE	12.4
Staten Island	WESTWOOD HILL PK	SI EXWY, WOODWARD, WOOLEY & WESTWOOD AVES	6.611
Staten Island	PARK	SI EXWY, MANOR RD & SCHMIDTS LANE	4.465
Staten Island	BRADYS POND PARK	SI EXWY, HYLAN BLVD, MANORVILLE CT	6.657
Staten Island	DONGAN PLGD	MASON, BUEL, DONGAN HILLS AVES	1.386
Staten Island	HIGH ROCK PARK	RICHMOND PKWY & MORAVIAN CEM AT ROCKLAND AVE	85.6
Staten Island	NEW DORP PARK	8 ST, ALLISON & BEACH AVES	0.775
Staten Island	PARK (NECK CREEK MARSH PARK)	E/S W SHORE EXWY, MEREDITH & RIDGEWAY AVES	28.645
Staten Island	S I COMMUNITY COLLEGE	RICHMOND PKWY, OCEAN TERR, TIBER PL	35
Staten Island	BASKET WILLOW SWAMP	OCEAN TERRACE, EMERSON COURT, & MERRICK AVE	48.06
Staten Island	PRALLS ISLAND	PRALLS RIVER & ARTHUR KILL	80.3
Staten Island	BLOOD ROOT VALLEY (GREENBELT)	ROCKLAND, MANOR AND BRIELLE AVES,FOREST HILL RD	113.2
Staten Island	SAW MILL CREEK MARSH	CHELSEA ROAD BET GULF AVE AND RIVER ROAD	111.721
Staten Island	STATEN ISLAND INDUSTRIAL PARK	S.I. EXPWY, MERRILL AVE, TELEPORT, SOUTH AV	226.29
Staten Island	SOUTH BEACH WETLANDS	QUINTARD ST BET QUINCY AVE & FATHER CAPODANNO BLVD	4.794
Staten Island	LAST CHANCE POND PARK	SEAVER AVE & NAUGHTON AVE BET ZOE ST & HUSSON ST.	3.903
Staten Island	OCEAN BREEZE PARK	QUINTARD ST & MASON AVE	110.398
Staten Island	CONFERENCE HOUSE PARK	PITTSVILLE ST,HYLAN BLVD,SURF,RICHARD AVES	267.465
Staten Island	AMUNDSEN CIRCLE	AMBOY RD, CLARKE AVE	1.05
Staten Island	GREAT KILLS PARK	HYLAN, FAIRLAWN TO EMMET, CEDAR GROVE TO NEW DORP	306.793
Staten Island	DUGAN PLGD	MILL RD, WEED AVE, TYSENS LANE	3.333
Staten Island	LONG POND PARK	COZZENS BLVD, CLARENDON AVE	97.059
Staten Island	WOLFE'S POND PARK	CORNELIA, HOLTEN & LUTEN AVES ON RARITAN BAY	341.33
Staten Island	CARLTON PARK	FOSTER RD & CARLTON AVE	2.249
Staten Island	GREAT KILLS VETERANS PLGD (PS 8)	HILLCREST AVE, N/O HIGHMOUNT RD	1.38
Staten Island	CLAWSON PLGD (PS 50)	ADELAIDE AVE, CLAWSON RD	1.7
Staten Island	LEMON CREEK PARK	HYLAN BLVD, SHARROTT & SEGUINE AVES	105.77
Staten Island	PRESCOTT PLGD	HYLAN BLVD, HUGUENOT, EDITH & SYCAMORE AVES	1.156
Staten Island	GREENCROFT PLGD (PS 53)	REDGRAVE, GREENCROFT STS, AINSWORTH & DURANT AVES	2.8
Staten Island	DOUBLE NICKEL PLGD	PRESTON AVE, KOCH BLVD, ARDEN RD & OSBORNE ST	1.666
Staten Island	PARK	RICHMOND PKWY, CARLTON & VERNON AVES	0.883
Staten Island	GREENSTREET	DRUMGOOLE RD WEST, DARLINGTON & NIPPON AVES	0.735
Staten Island	IDA COURT PARK	RICHMOND PKWY, IDA COURT, N RAILROAD AVES	2.02
Staten Island	PARK	RICHMOND PKWY, HUGUENOT & HEENAN AVES	6
Staten Island	PARK	RICHMOND PKWY, ALBEE & IONIA AVES	0.643
Staten Island	PARK	RICHMOND PKWY, RATHBUN AVE, CARLTON AVE	0.636
Staten Island	GENESEE PARK	RICHMOND PKWY, ANNADALE RD, GENESEE AVE	3.306
Staten Island	S SHORE COUNTRY CLUB (PARK)	S/S W SHORE EXWY, HUGUENOT & ALVERSON AVES	174.847
Staten Island	BLOOMINGDALE PARK	RICHMOND PKWY, BLOOMINGDALE RD, LENEVAR AVE	138.67
Staten Island	JOLINE POOL PLGD	JOLINE AVE, HYLAN BLVD	1.377
Staten Island	BLUE HERON PARK PRESERVE	AMBOY RD, BARCLAY AVE, HYLAN BLVD & BERTRAM AVE	234.458
Staten Island	PARK (ARDEN HEIGHTS WOODS)	ARTHUR KILL RD, ARDEN AND LEGATE AVES	183
Staten Island	CHRISTOPHER J. SIEDENBURG  PARK	GREAVES AVE, DEWEY AVE, & EVERGREEN ST	22.692
Staten Island	HUGENOT PONDS PARK	BILLIOU & COMELY STS B/W HUGENOT & KINGDOM AVES	32.73
Staten Island	BUNKER PONDS PARK	HYLAN BLVD B/W ARBUTUS, HUGENOT & SHORE AVES	32.73
Staten Island	ARBUTUS WOODS PARK	EYLANDT ST, STECHER ST & COLON ST	2.65
Staten Island	GREAT KILLS PARK	HYLAN BLVD, BET. RETFORD AVE. AND TENNYSON DR.	67.6
Staten Island	HYBRID OAKS WOODS PARK	SURF & JOLINE AVES	9.6
Staten Island	BAYVIEW TERRACE PARK	BARCLAY AV, BAYVIEW TERR, HOLDRIGE AV	19.29
Staten Island	KINGDOM POND PARK	HYLAN BLVD, JANSEN ST, KINGDOM AVE	4.368
Staten Island	TOTTENVILLE SHORE PARK	ARTHUR KILL RD, BENTLEY ST, HOPPING AVE	9.181
Staten Island	ISLINGTON POND PARK	MILES, CORBIN, BARLOW AVES, FAIRFIELD STLD ST	23.01
Staten Island	NELSON AVE WATERFRONT PARK	NELSON AVE, TENNYSON DR & BULKHEAD LINE	2.84
Staten Island	ISLE OF MEADOWS	ARTHUR KILLS NEAR FRESH KILLS MEADOW	100.5
Staten Island	WILLOWBROOK PKWY (4.5 MILES)	VICTORY BLVD TO GREAT KILLS PARK	306.805
Bronx	PULASKI PARK	WILLIS AVE, BRUCKNER BLVD, E 132 ST, WILLIS AVE BR	1.43
Bronx	ST MARY'S PARK	ST MARYS ST, ST ANNS AVE, E 149 ST, JACKSON AVE	35.311
Bronx	PEOPLE'S PARK	BROOK AVE, ST ANNS AVE, E 141 ST	1.949
Bronx	GARRISON PLAYGROUND	E 146 ST, WALTON AVE, GRAND CONCOURSE 	0.696
Bronx	MOTT HAVEN HLTH CTR SIT AREA	E 140 ST, ALEXANDER AVE	0.906
Bronx	LOZADA PLAYGROUND	E 135 ST, ALEXANDER & WILLIS AVES 	1.05
Bronx	PLGD ONE THIRTY FOUR CXXXIV	BRUCKNER BLVD, CYPRESS AVE, E 133 & E 134 STS	2.05
Bronx	FLYNN PLAYGROUND	E 157 ST, 3 AVE, E 158 ST, BROOK AVE 	0.82
Bronx	MELROSE PLAYGROUND	COURTLANDT AVE, E 153-E 156 STS	1.001
Bronx	PATTERSON PLAYGROUND	MORRIS AVE, E 148 ST, COLLEGE AVE,  E 145 ST 	2.784
Bronx	MILLBROOK PLAYGROUND	N/S OF E 135 ST BET ST ANNS AND CYPRESS AVES	1.053
Bronx	CAPT RIVERA PLAYGROUND	FOREST AVE, E 156 ST	0.988
Bronx	CLARK PLAYGROUND	3 AVE, E 144 TO E 145 STS 	0.722
Bronx	PONTIAC PLAYGROUND	E 149 ST, CONCORD AVE, JACKSON AVE 	0.913
Bronx	PS 1 & ALFRED E SMITH HS PLGD	E 153 ST, COURTLANDT AVE, E 151 ST, MORRIS AVE	3.564
Bronx	ABIGAIL PLAYGROUND	TINTON AVE, E 156 ST	0.529
Bronx	WILLIS PLAYGROUND	E 139 ST, E 140 ST, WILLIS & ALEXANDER AVES	0.9
Bronx	I AM PARK	E 147 ST, JACKSON AVE, E 144 ST, ST MARYS PK	0.712
Bronx	FOUNTAIN OF YOUTH PLAYGROUND	UNION AVE, E 150 ST, TINTON AVE &  E 152 ST	1.375
Bronx	GROVE HILL PLAYGROUND	E 158 ST, EAGLE AVE, CAULDWELL AVE, E 156 ST	1.186
Bronx	SAW MILL PLAYGROUND	E 139 & E 140 STS, BROOK & WILLIS AVES 	0.92
Bronx	BROOK PARK	BROOK AVE, E 140 TO E 141 STS	0.76
Bronx	RANAQUA PARK	WILLIS AVE, BROWN PLACE, E. 135, E. 136TH STS.	1.044
Bronx	ST. LUKE'S PLAYGROUND	E. 137TH & E. 138TH ST & CYPRESS AVE	0.744
Bronx	JOSEPH RODMAN DRAKE PARK	LONGFELLOW, OAK PT, HUNTS PT AVES, DRAKE PK S	2.49
Bronx	LYONS PLAYGROUND	ALDUS ST, BRYANT, LONGFELLOW AVES, BRUCKNER BLVD	1.322
Bronx	HUNTS POINT PLAYGROUND	HUNTS POINT RD, SPOFFORD AVE, FAILE ST	0.717
Bronx	REV POLITE PLAYGROUND	INTERVALE AVE, REV. JAMES POLITE AVE, N/S E 167 ST	1.815
Bronx	DAWSON PLAYGROUND	INTERVALE AVE, ROGERS PL, DAWSON ST	0.945
Bronx	PLAYGROUND FIFTY-TWO	LEGGETT AVE, KELLY ST, AVE ST JOHN	1.772
Bronx	TIFFANY PLAYGROUND	FOX ST, E 167 ST, TIFFANY ST	1.205
Bronx	STEBBINS PLAYGROUND	REV JAMES A POLITE AVE & 164 ST	0.83
Bronx	FOX PLAYGROUND	S/E CORNER FOX ST, E 156 ST	0.94
Bronx	BANANA KELLY PARK	W/S BECK ST, N/S INTERVALE AVE	0.61
Bronx	BILL RAINEY MEMORIAL PARK	DAWSON & BECK STS., INTERVALE & LONGWOOD AVES	7.5
Bronx	HOE AVENUE TENNIS COURTS	HOE AVE, ALDUS ST, E 165 (BANCROFT) ST	1.341
Bronx	TIFFANY ST PIER	TIFFANY ST, VIELE AVE, ON EAST RIVER	4.231
Bronx	CROTONA PARK	FULTON AVE, CROTONA PK N,S,E	127.5
Bronx	HYLAN PARK	CROTONA PARK NORTH, E. 175TH ST & SOUTHERN BLVD	3.7
Bronx	DREW PLAYGROUND	FULTON AVE, BET E 169 & E 170 STS	0.94
Bronx	RAILROAD PARK	E 161 ST TO E 162 ST, COURTLANDT AVE TO NYCRR	0.732
Bronx	DANIEL BOONE PLAYGROUND	BOONE AVE & WEST FARMS RD	1.2
Bronx	BEHAGEN PLAYGROUND	E 166 ST, UNION AVE, TINTON AVE	3.348
Bronx	DUNBAR PLAYGROUND	E 161 ST, TRINITY AVE, E 163 ST, CAULDWELL AVE	1.44
Bronx	MORGAN PLAYGROUND	E 168 ST, PARK AVE, WASHINGTON AVE	0.782
Bronx	GOUVERNEUR PLGD	3 AVE, ST PAULS PL, WASHINGTON AVE	0.977
Bronx	ROCKS & ROOTS PARK	N/W CORNER FULTON AVE & E 166 TO E 167 STS ALSO THIRD AVE	0.903
Bronx	ROCK GARDEN COMMUNITY PARK	LONGFELLOW AVE, E.173 & E. 174 STS.	0.92
Bronx	CLAREMONT PARK	TELLER, MORRIS, MT EDEN AVES, E 170 ST	38.536
Bronx	JOYCE KILMER PARK	WALTON AVE, E 161-E 164 STS, GRAND CONCOURSE	6.882
Bronx	MACOMBS DAM PARK	HARLEM R, JEROME,RIVER AVES, RUPPERT PL, E 157 ST	12.06
Bronx	JOHN MULLALY PARK	JEROME AVE, MCCLELLAN ST, RIVER AVE, E 162 ST	18.516
Bronx	FRANZ SIGEL PARK	NYCRR, WALTON AVE, E 158 ST, GRAND CONCOURSE	15.99
Bronx	MOUNT EDEN MALLS	MT EDEN PKWY, WALTON AVE, WEEKS AVE	1.682
Bronx	JEROME SLOPE	W 165 ST, JEROME & ANDERSON AVES	0.764
Bronx	MOTT PLAYGROUND	MORRIS TO COLLEGE AVES, E 166-E 167 STS 	1.49
Bronx	HIGHBRIDGE PARK	W 170 ST, UNIVERSITY AVE & HIGHBRIDGE	0.82
Bronx	CROSS BRONX EXWY (6.2 MILES)	WASHINGTON BRIDGE TO THROGS NECK BRIDGE	15.085
Bronx	PLIMPTON PLAYGROUND	EDWARD L GRANT HWY, PLIMPTON AVE	1
Bronx	BRIDGE PLAYGROUND	BOSCOBEL PL, UNIVERSITY AVE, W 171 ST	0.61
Bronx	PARK GRASS AREA	WALTON AVE, E 174 ST, BELOW GRAND CONCOURSE	0.55
Bronx	MERRIAM PLGD	UNIVERSITY, MERRIAM AVES, W 168 ST, OGDEN AVE	2.944
Bronx	NELSON PLAYGROUND	W 166 ST, NELSON AVE &  WOODYCREST AVE 	1.148
Bronx	ARCILLA PLAYGROUND	PARK, CLAY, TELLER AVES, E 164 ST	1.377
Bronx	YANKEE STADIUM	E 161 ST, RIVER AVE, E 157 ST, RUPPERT PL	16.4
Bronx	PARKING LOT	RIVER & GERARD AVES BET E 164-165 STS	1.194
Bronx	HIGHBRIDGE REC CENTER & PARK	W 172 ST,BET NELSON AVE, JESUP STREET	1.88
Bronx	CORPORAL IRWIN FISCHER PARK	NELSON, SHAKESPEARE AVES. W. 169, W. 170TH STS.	0.57
Bronx	GRANT AVENUE PARK	GRANT AVE, MORRIS AVE, E. 169, E. 170TH STS.	3.85
Bronx	AQUEDUCT WALK	E. BURNSIDE AVE, UNIVERSITY AVE, MORTON PL, HARRISON AVE	8.607
Bronx	JULIUS RICHMAN PARK	E TREMONT, E BURNSIDE, VALENTINE AVES	4.385
Bronx	UNIVERSITY WOODS	SEDGWICK TO CEDAR AVES, N/O W 180 ST	3.306
Bronx	UNIVERSITY MALLS	UNIVERSITY AVE, W TREMONT AVE,  W 174ST	1.01
Bronx	SLATTERY PLAYGROUND	RYER AVE,VALENTINE AVE & E 183 ST 	0.911
Bronx	WASHINGTON BRIDGE PARK	HARLEM R, W 174 ST, NYCRR, HAMILTON BRIDGE	3.4
Bronx	CEDAR PLAYGROUND	CEDAR AVE, W 179 ST, SEDGWICK AVE 	1.261
Bronx	SEDGWICK PLAYGROUND	UNDERCLIFF AVE, CROSS BRONX EXWY 	1.054
Bronx	MOUNT HOPE PLAYGROUND	E. 177 ST & WALTON AVE	0.7
Bronx	CLEOPATRA PLAYGROUND	ANTHONY AVE & PROSPECT PL	0.618
Bronx	GALILEO PARK	MACOMBS ROAD AND W. 176 ST	0.714
Bronx	NELSON AVENUE FAMILY PARK	NELSON AVE BET FEATHERBED LANE & W 174 ST	0.61
Bronx	BRONX PARK	SOUTHERN BLVD,WEBSTER,BURKE AVES,BRONX PK E,180 ST	718.1
Bronx	TREMONT PARK	FULTON, E TREMONT & ARTHUR AVES	15
Bronx	CROTONA PARKWAY MALLS	FROM CROTONA PKWY TO BRONX PARK (EAST SIDE)	8.75
Bronx	ROSE HILL PARK	WEBSTER AVE, HARLEM RR, E FORDHAM RD	0.83
Bronx	SGT. JOHNSON TRIANGLE	FORDHAM ROAD, SOUTHERN BLVD., CROTONA AVENUE	0.74
Bronx	CICCARONE PARK	ARTHUR AVE, E 188 ST, HUGHES AVE 	0.553
Bronx	BELMONT PLAYGROUND	E 181, E 182 STS, CROTONA & BELMONT AVES 	2.213
Bronx	PARK UNDER CROSS BRONX EXWY	E 175 ST, WASHINGTON & BATHGATE AVES	0.897
Bronx	PARK (POLICE USE AS PRKG LOT)	E 175 ST, BATHGATE AVE, 3 AVE	0.511
Bronx	PARK (POLICE USE AS PRKG LOT)	CROSS BRONX EXWY, WASHINGTON AVE, PARK AVE	0.592
Bronx	PARK	CROSS BRONX EXWY, WEBSTER AVE, PARK AVE	0.759
Bronx	ADMIRAL FARRAGUT PLAYGROUND	E 176 ST, CROTONA AVE	1.359
Bronx	PROSPECT PLAYGROUND	CLINTON AVE, E 176 ST, PROSPECT AVE	0.711
Bronx	WEBSTER  PLAYGROUND	PARK AVE, E 188 ST, WEBSTER AVE 	0.744
Bronx	PARK	E/S WASHINGTON AVE, BATHGATE AVE, E 181-E 182 STS	2.5
Bronx	QUARRY ROAD BALLFIELDS	QUARRY ROAD, E 181 ST, OAK PL & HUGHES AVE	4.7
Bronx	VIDALIA PARK	VYSE & DALY AVES BET W 179-180 STREETS	2.136
Bronx	WASHINGTON PARK	E. 183 ST B/W WASHINGTON & PARK	0.516
Bronx	BRONX RIVER PARK	E. 179 ST @ BRONX RIVER	0.505
Bronx	MAPES AVENUE BALLFIELD	MAPES AVE, E.180 &E.181 STS, PROSPECT AVE	1.606
Bronx	AQUEDUCT WALK	W. 179 ST AQUEDUC BET W KINGSBRIDGE RD & W FORDHAM RD	4.926
Bronx	DEVOE PARK	W FORDHAM RD,WEBB AVE,FR ZEISER PL,UNIVERSITY AVE	5.44
Bronx	MOSHOLU PARKWAY (2.MILES)	BRONX PK,WEBSTER AVE,GRAND CONC,VAN CORTLANDT PK	80.936
Bronx	POE PARK	GRAND CONCOURSE, E KINGSBRIDGE RD, E 192 ST	2.331
Bronx	ST JAMES PARK	JEROME AVE, E 193 ST, CRESTON AVE, E 191 ST	11.39
Bronx	WILLIAMSBRIDGE OVAL	VAN CORTLANDT AVE E,BAINBRIDGE AVE,RESERVOIR OVAL	19.749
Bronx	HARRIS PARK	GOULDEN AVE, W 205 ST, PAUL AVE, BEDFORD PK BLVD	15.32
Bronx	JEROME PARK	GOULDEN AVE, NORTH OF 205TH ST	4.359
Bronx	PARK STRIP	E/S MAJ DEEGAN EXWY, FORDHAM RD, CEDAR AVE	0.667
Bronx	FORDHAM LANDING PLAYGROUND	LANDING RD, JUST OFF FORDHAM RD	4.05
Bronx	RIVERBEND PLAYGROUND	KINGSBRIDGE RD, BAILEY AVE, HEATH AVE	0.689
Bronx	MOSHOLU PLGD (PS 8)	MOSHOLU PKWY, BAINBRIDGE AVE 	0.753
Bronx	EWEN PARK	JOHNSON AVE, W 232 ST, RIVERDALE AVE	7.84
Bronx	FORT INDEPENDENCE PLAYGROUND	SEDGWICK AVE & GILES PL 	3.02
Bronx	OLD FORT #4 PARK	S/S RESERVOIR AVE BET SEDGWICK & STRONG AVES	4.637
Bronx	BRUST PARK	W 242 ST, MANHATTAN COLLEGE PKWY & WALDO AVE	1.79
Bronx	HENRY HUDSON PARK	PALISADE AVE, KAPPOCK ST & INDEPENDENCE AVE	8.972
Bronx	SPUYTEN DUYVIL SH0OREFRONT PARK	PALISADE AVE, JOHNSON AVE, EDSALL AVE	6.6
Bronx	HENRY HUDSON PKWY (11 MILES)	HARLEM RIVER-SAW MILL PKWY AT CITY LINE	54.1
Bronx	HACKETT PARK	W 254 ST, RIVERDALE AVE, HENRY HUDSON PKWY	1
Bronx	PHYLISS POST GOODMAN PARK	NORTH SIDE KAPPOCK ST & EASTSIDE HENRY HUDSON PKWY	0.5
Bronx	GREENSTREET	W 230-231 STS & HENRY HUDSON PKWY	0.5
Bronx	BELL TOWER PARK	W 239 ST & HENRY HUDSON PARK	0.5
Bronx	PLAYGROUND	BAILEY & 234 ST	2.5
Bronx	RIVERDALE PARK	HUDSON RIVER, W 254 ST, PALISADE AVE, W 232 ST	97.19
Bronx	CONRAD GRAUER FIELD	W 233 RD, W 234 ST, BAILEY AVE	1.274
Bronx	BAILEY PLGD	W 234 ST, BAILEY AVE, W 238 ST	3.533
Bronx	VINMONT VETERAN PLGD	W 254 ST, RIVERDALE & MOSHOLU AVES	2.9
Bronx	SPUYTEN DUYVIL PLGD	DOUGLAS AVE, W 235 & W 236 STS	1.847
Bronx	RIVERDALE PLAYGROUND	W 236 & 237 STS, INDEPENDENCE AVE & HUDSON MANOR TERRACE	2.256
Bronx	SETON HOSPITAL SITE	W 232 ST,INDEPENDENCE AVE,W 235 ST,PALISADE AVE	11.689
Bronx	MARBLE HILL PLGD	MARBLE HILL AVE BET W 228 & W 230 STS	1.646
Bronx	PERKINS GARDENS	W 248 ST,INDEPENDENCE AVE,W 252 ST,PALISADE AVE	20.867
Bronx	RAOUL WALLENBERG PARK	PALISADE AVE, DOUGLAS AVE, W235 & W236 STS	4.73
Bronx	BRONX RIVER PARKWAY	LAFAYETTE AVE, BRONX PARK, BURKE AVE, CITY LINE	202.36
Bronx	CASTLE HILL PARK	HART ST, CASTLE HILL AVE, WESTCHESTER, PUGSLEYS CR	4.26
Bronx	OWEN DOLEN GOLDEN AGE CENTER	E TREMONT, WESTCHESTER, LANE AVES	1.4
Bronx	HUGH GRANT CIRCLE	E 177 ST, WESTCHESTER AVE, VIRGINA AVE	1.11
Bronx	PUGSLEY CREEK PARK	FOOT OF SOUNDVIEW AVE, EAST RIVER	77.835
Bronx	SOUNDVIEW PARK	BRONX R, LAFAYETTE, METCALF, BRONX RIVER AVES	196.141
Bronx	NOBLE PLAYGROUND	E 179 ST, NOBLE & BRONX RIVER AVES	3.63
Bronx	WATSON GLEASON PLAYGROUND	NOBLE, GLEASON, ROSEDALE, WATSON AVES	3.301
Bronx	STARLIGHT PARK	E 172 TO E 174 STS, BRONX R EXWY, BRONX RD	14.13
Bronx	VIRGINIA PARK	WHITE PLAINS RD, WESTCHESTER AVE, CROSS BX EXWY	0.918
Bronx	OLMSTED TRIANGLE	N/S CROSS BRONX EXWY, ELLIS & OLMSTEAD AVES	0.52
Bronx	P.O. SERRANO PLGD	OLMSTEAD, TURNBULL, CASTLE HILL, LAFAYETTE AVES	2.618
Bronx	174TH ST PLGD	E 174 ST, BRONX RIVER AVE	1
Bronx	CASERTA PLGD	ST RAYMOND AVE, PURDY ST, ODELL ST	1
Bronx	THE PEARLY GATES	TRATMAN & ST PETERS AVES	0.659
Bronx	TAYLOR PLGD	THERIOT AVE, GUERLAIN ST, TAYLOR AVE	1.578
Bronx	CASTLE HILL PLGD	CASTLE HILL AVE, PARKER ST	1.368
Bronx	COLGATE CLOSE	N/S BRUCKNER EXWY AT CLOSE & COLGATE AVES	1.871
Bronx	RANDALL PLGD	RANDALL AVE, CASTLE HILL AVE, OLMSTEAD AVE	1
Bronx	STORY PLGD	THERIOT AVE, STORY AVE, TAYLOR AVE	2.075
Bronx	BLACK ROCK PLAYGROUND	PUGSLEY AVE, BLACKROCK AVE, WATSON AVE	1.186
Bronx	SPACE TIME PLGD	LAFAYETTE, BOLTON, UNDERHILL AVES	0.831
Bronx	PARK	ZEREGA, COMMERCE, GLEASON, & POWELL AVES	1.707
Bronx	HARDING PARK	UNDERHILL & GILDERSLEEVE AVES, WHITEPLAINS RD & O'BRIEN	2.16
Bronx	HUTCHINSON RIVER PARKWAY	WHITESTONE BRIDGE APPROACH TO CITY LINE	299.14
Bronx	BUFANO PLGD	BRADFORD, EDISON, LA SALLE, WATERBURY AVES	1.904
Bronx	COLUCCI PLGD	WILKINSON & MAYFLOWER AVES	4
Bronx	FERRY POINT PARK	WESTCHESTER CR, SCHLEY, EMERSON AVES, EAST RIVER	413.8
Bronx	BRUCKNER PLGD	BRINSMADE AVE AND CROSS BRONX EXPWY	1.053
Bronx	BICENTENNIAL VETERANS MEM PARK	E/S THROGS NECK, ELLSWORTH AND SCHLEY AVE	9.256
Bronx	PARK (CO-OP CITY BALLFIELDS)	CO-OP CITY BLVD, BELLAMY LOOP, HUTCHINSON RIVER	3.4
Bronx	AMBROSINI FIELD	E/S CITY ISLAND AVENUE AT CENTRE ST	6.1
Bronx	GIVANS CREEK WOODS PARK	CO-OP CITY BLVD., ROMBOUTS AVE, NEW ENGLAND THWY	10.735
Bronx	CITY ISLAND WETLANDS	BAY ST, TIER ST, EASTCHESTER BAY	8.005
Bronx	BRONX & PELHAM PKWY(2.5 MILES)	BRONX PARK TO PELHAM BAY PARK	109.46
Bronx	ZIMMERMAN PLAYGROUND	BARKER AVE, BRITTON ST & OLINVILLE AVE	0.974
Bronx	SAMUEL H YOUNG PARK	E TREMONT AVE, WESTCHESTER AVE	1.285
Bronx	EASTCHESTER  PLGD	ADEE & TENBROECK AVES	1.025
Bronx	MAZZEI PLGD	MACE AVE & WILLIAMSBRIDGE RD	1.59
Bronx	PARKSIDE PLAYGROUND	ARNOW AVE, OLINVILLE AVE	0.817
Bronx	LORETO PARK	MORRIS PARK, TOMLINSON, VAN NEST & HAIGHT AVES	2.181
Bronx	ALLERTON PLGD	ALLERTON AVE, STEDMAN PL, BOUCK AVE, THROOP AVE	1.597
Bronx	MATHEW  MULINER PLGD	MORRIS PARK AVE, MULINER AVE, MATTHEWS AVE	1.02
Bronx	BURNS PLGD	MACE, LODOVICK & GUNTHER AVES	1.623
Bronx	PELHAM BAY LITTLE LEAGUE PARK	WESTCHESTER AVE, E TREMONT AVE, LITTLE LEAGUE PL	1.26
Bronx	SETON FALLS PARK	E 233 ST, SETON AVE, PRATT AVE, EDEN TERRACE	35.771
Bronx	WILLIAMSBRIDGE SQUARE	WHITE PLAINS RD, E 212 ST, GUN HILL RD	1.395
Bronx	RIENZI PLAYGROUND	WHITE PLAINS RD, E 226 ST, BARNES AVE,  E 225 ST	1.53
Bronx	GUN HILL  PLAYGROUND	HOLLAND AVE, MAGENTA ST, CRUGER AVE	0.716
Bronx	EDENWALD PLAYGROUND	SCHIEFFELIN AVE & E 229 ST	2.537
Bronx	AGNES HAYWOOD PLAYGROUND	E 215 ST, BARNES AVE, E 216 ST	1.32
Bronx	GIVAN SQUARE (3 TRANGLES)	GUN HILL RD, EASTCHESTER RD, ADEE AVE	1.82
Bronx	WAKEFIELD PLGD	E 240 ST, MATILDA & CARPENTER AVES	0.877
Bronx	STARS & STRIPES PLGD	CRAWFORD AVE, BAYCHESTER AVE	3.122
Bronx	HAFFEN PARK	HAMMERSLY, ELY, BURKE, GUNTHER AVES	9.238
Bronx	MAGENTA PLGD	ROSEWOOD & MAGENTA STS, OLINVILLE AVE	1.205
Bronx	VAN CORTLANDT PARK	BROADWAY,JEROME AVE,CITY LINE,VAN CORTLANDT PK S	1146.43
Bronx	PELHAM BAY PARK	BRUCKNER BLVD, EASTCHESTER, HUTCHINSON	2766.05
